"11re -- Population according to age (1-year) and sex by area, 1972-2021"

"Area","Age","Males 2010 Population 31 Dec","Males 2011 Population 31 Dec","Males 2012 Population 31 Dec","Males 2013 Population 31 Dec","Females 2010 Population 31 Dec","Females 2011 Population 31 Dec","Females 2012 Population 31 Dec","Females 2013 Population 31 Dec"
"WHOLE COUNTRY","Total",2638416,2652534,2666622,2680364,2736860,2748733,2760052,2770906
"WHOLE COUNTRY","0",31367,30596,30397,29982,29759,29478,29240,28427
"WHOLE COUNTRY","1",30992,31554,30806,30647,29801,29950,29649,29447
"WHOLE COUNTRY","2",30736,31143,31712,30952,29469,29966,30118,29789
"WHOLE COUNTRY","3",30564,30899,31330,31843,29007,29587,30080,30241
"WHOLE COUNTRY","4",30584,30689,31036,31477,29342,29115,29715,30201
"WHOLE COUNTRY","5",29871,30714,30837,31164,28810,29471,29238,29853
"WHOLE COUNTRY","6",30207,29976,30831,30976,28651,28925,29563,29403
"WHOLE COUNTRY","7",29373,30336,30058,30990,28417,28741,29053,29708
"WHOLE COUNTRY","8",29155,29469,30420,30161,27664,28513,28822,29149
"WHOLE COUNTRY","9",29218,29227,29560,30524,27981,27744,28598,28945
"WHOLE COUNTRY","10",29794,29307,29308,29671,28103,28070,27851,28704
"WHOLE COUNTRY","11",29907,29887,29401,29412,28740,28165,28170,27943
"WHOLE COUNTRY","12",29596,29982,30000,29484,28411,28824,28268,28269
"WHOLE COUNTRY","13",30627,29683,30087,30106,29718,28492,28899,28377
"WHOLE COUNTRY","14",31654,30710,29773,30190,30159,29769,28572,28986
"WHOLE COUNTRY","15",32761,31731,30778,29871,31451,30231,29840,28655
"WHOLE COUNTRY","16",33668,32844,31831,30880,32578,31528,30319,29908
"WHOLE COUNTRY","17",33669,33788,32951,31946,32492,32662,31619,30399
"WHOLE COUNTRY","18",34898,33771,33941,33116,33397,32651,32834,31797
"WHOLE COUNTRY","19",34228,35097,33920,34090,32942,33463,32680,32884
"WHOLE COUNTRY","20",34738,34421,35247,34062,33012,33061,33512,32696
"WHOLE COUNTRY","21",33692,34896,34588,35381,32226,33164,33196,33656
"WHOLE COUNTRY","22",33947,33921,35073,34829,32400,32472,33402,33409
"WHOLE COUNTRY","23",32428,34232,34284,35385,30906,32698,32788,33720
"WHOLE COUNTRY","24",33012,32786,34583,34619,31419,31230,33085,33114
"WHOLE COUNTRY","25",34213,33426,33124,34930,32589,31728,31534,33464
"WHOLE COUNTRY","26",35585,34572,33836,33504,33813,32863,32031,31851
"WHOLE COUNTRY","27",36532,35895,34929,34173,34670,34025,33154,32311
