"12ak -- Deaths by age (5-year), sex and area, 1990-2021"

"Year","Area","Females Total Deaths","Females 0 Deaths","Females 1 - 4 Deaths","Females 5 - 9 Deaths","Females 10 - 14 Deaths","Females 15 - 19 Deaths","Females 20 - 24 Deaths","Females 25 - 29 Deaths","Females 30 - 34 Deaths","Females 35 - 39 Deaths","Females 40 - 44 Deaths","Females 45 - 49 Deaths","Females 50 - 54 Deaths","Females 55 - 59 Deaths","Females 60 - 64 Deaths","Females 65 - 69 Deaths","Females 70 - 74 Deaths","Females 75 - 79 Deaths","Females 80 - 84 Deaths","Females 85 - 89 Deaths","Females 90 - 94 Deaths","Females 95 - Deaths"
"1990","WHOLE COUNTRY",25042,180,25,29,20,72,91,73,121,157,337,334,472,603,1087,1895,2773,4344,5553,4338,2023,515
"1990","Akaa",91,0,0,0,0,0,0,1,0,1,1,1,2,1,1,5,8,16,26,18,9,1
"1990","Alajärvi",50,2,0,1,1,0,0,0,0,0,0,2,1,2,2,5,7,9,9,7,2,0
"1990","Alavieska",9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,3,1,0
"1990","Alavus",76,1,0,0,0,0,0,0,0,0,1,1,1,3,2,10,3,11,17,14,9,3
"1990","Asikkala",45,0,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,6,15,8,5,0
"1990","Askola",26,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4,5,5,6,2,2
"1990","Aura",16,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,5,3,4,0
"1990","Brändö",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"1990","Eckerö",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0
"1990","Enonkoski",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,1,0
"1990","Enontekiö",9,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,2,1,0
"1990","Espoo",420,9,1,0,0,4,2,2,0,7,11,22,15,17,22,31,50,62,83,50,28,4
"1990","Eura",78,0,0,0,0,0,0,1,0,0,0,1,1,1,1,11,9,10,21,15,5,2
"1990","Eurajoki",51,0,0,1,0,0,0,0,0,1,1,1,0,0,2,3,5,9,14,8,6,0
"1990","Evijärvi",12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,7,1,2,0
"1990","Finström",7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,1
"1990","Forssa",108,1,0,0,0,0,0,0,0,1,2,0,0,4,4,8,15,20,23,19,7,4
"1990","Föglö",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"1990","Geta",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"1990","Haapajärvi",40,0,0,0,1,0,0,1,0,1,0,2,1,2,1,2,6,6,9,6,2,0
"1990","Haapavesi",32,1,0,0,0,0,0,0,0,0,0,0,1,2,0,1,1,6,8,7,3,2
"1990","Hailuoto",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0
"1990","Halsua",14,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,2,2,3,1,1,0
"1990","Hamina",101,0,0,1,0,0,1,0,0,0,1,5,5,1,2,6,15,15,23,19,6,1
"1990","Hammarland",9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,3,0,0
"1990","Hankasalmi",49,1,0,0,0,1,0,0,1,0,0,0,1,1,1,6,6,12,5,6,8,0
"1990","Hanko",43,0,0,0,1,0,0,0,0,0,0,1,1,0,3,5,3,8,7,12,1,1
"1990","Harjavalta",36,0,0,0,0,0,0,0,0,0,0,1,0,0,5,2,4,4,6,11,2,1
"1990","Hartola",28,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,1,3,8,2,1,1
"1990","Hattula",38,1,0,0,0,0,0,0,1,0,1,1,1,0,1,1,2,10,10,8,1,0
"1990","Hausjärvi",50,0,0,0,0,0,0,0,0,1,1,0,0,2,2,2,8,12,14,6,2,0
"1990","Heinola",116,0,0,0,1,0,0,1,1,0,1,0,4,1,1,13,15,20,21,23,10,4
"1990","Heinävesi",32,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,3,9,6,5,2,1
"1990","Helsinki",3165,9,2,1,0,3,19,8,24,25,56,50,64,82,124,225,343,518,675,584,273,80
"1990","Hirvensalmi",27,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4,8,1,4,3,2,0
"1990","Hollola",77,0,0,0,1,0,0,0,0,1,1,0,0,0,1,10,9,11,18,19,4,2
"1990","Huittinen",65,0,0,0,0,0,0,1,0,0,0,1,0,2,3,6,8,14,8,13,5,4
"1990","Humppila",18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,3,5,2,3,1
"1990","Hyrynsalmi",18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,3,4,2,5,0
"1990","Hyvinkää",179,0,0,0,2,0,1,1,4,1,2,2,2,3,8,16,15,20,49,43,6,4
"1990","Hämeenkyrö",49,0,0,0,0,0,0,0,2,0,0,0,1,1,5,3,7,6,9,9,3,3
"1990","Hämeenlinna",360,2,0,0,0,0,1,0,0,1,6,6,4,3,18,17,44,69,88,68,28,5
"1990","Ii",44,0,0,0,0,0,0,0,0,0,1,0,1,2,3,2,6,9,10,5,3,2
"1990","Iisalmi",118,0,0,0,0,1,1,0,0,1,1,0,0,3,8,5,16,21,25,25,7,4
"1990","Iitti",62,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,11,5,15,13,5,3
"1990","Ikaalinen",51,0,0,0,0,0,0,0,0,1,1,0,0,2,1,2,5,10,10,10,7,2
"1990","Ilmajoki",55,0,0,0,0,0,0,0,0,0,1,0,2,1,0,2,7,10,18,9,2,3
"1990","Ilomantsi",43,0,0,0,0,1,1,0,1,1,2,0,2,2,0,2,5,10,11,2,3,0
"1990","Imatra",208,0,0,0,0,0,0,0,0,1,3,3,8,6,8,17,24,44,51,31,12,0
"1990","Inari",16,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,3,4,3,1,0,0
"1990","Ingå",20,0,0,0,0,0,0,0,1,0,0,1,0,0,2,2,1,1,7,4,1,0
"1990","Isojoki",21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,4,1,6,3,3,1
"1990","Isokyrö",30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,7,5,5,3
"1990","Janakkala",72,0,0,0,0,0,0,0,0,0,1,0,1,2,3,4,9,6,20,17,8,1
"1990","Joensuu",329,2,2,1,0,0,0,5,4,2,5,2,6,9,19,35,27,57,89,45,15,4
"1990","Jokioinen",25,0,0,0,0,0,0,1,0,0,0,0,2,0,0,4,0,5,5,7,1,0
"1990","Jomala",15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,4,0,3,0
"1990","Joroinen",34,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,4,8,6,7,1,3
"1990","Joutsa",35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,6,13,4,5,0
"1990","Juuka",50,0,0,0,0,1,0,0,0,1,1,1,1,0,7,1,7,5,16,8,1,0
"1990","Juupajoki",16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,4,5,3,0
"1990","Juva",49,0,1,0,0,0,0,0,0,1,1,0,2,1,2,2,6,11,9,8,3,2
"1990","Jyväskylä",458,9,1,1,0,1,2,1,1,2,10,7,8,11,24,39,50,88,100,66,31,6
"1990","Jämijärvi",12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,1,3,0
"1990","Jämsä",152,1,1,1,0,0,0,1,1,0,0,0,3,5,7,8,18,37,25,29,9,6
"1990","Järvenpää",91,1,0,0,0,1,0,0,1,0,3,3,3,4,5,8,3,17,20,16,4,2
"1990","Kaarina",80,0,0,0,0,0,0,0,0,0,2,1,1,3,3,11,7,19,17,7,7,2
"1990","Kaavi",24,0,0,0,0,0,0,0,0,0,0,0,2,0,1,3,3,5,8,1,1,0
"1990","Kajaani",150,5,2,1,0,0,0,0,1,0,2,1,4,4,12,4,12,28,32,24,14,4
"1990","Kalajoki",58,0,0,1,0,1,0,0,0,0,0,1,0,1,0,9,7,10,14,8,6,0
"1990","Kangasala",110,0,0,0,0,0,0,0,0,1,1,3,3,0,3,13,7,14,26,26,12,1
"1990","Kangasniemi",43,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,2,6,17,6,3,2
"1990","Kankaanpää",88,3,0,0,0,0,0,0,0,0,0,0,2,1,1,11,18,12,17,17,5,1
"1990","Kannonkoski",13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,1,4,3,0
"1990","Kannus",29,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,9,6,4,2,2
"1990","Karijoki",18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,6,1,0,2
"1990","Karkkila",59,0,0,0,0,0,0,0,0,0,1,0,0,1,4,6,3,14,13,4,12,1
"1990","Karstula",30,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,4,12,6,1,1
"1990","Karvia",20,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,4,3,1,5,2
"1990","Kaskinen",11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4,1,2,2,0
"1990","Kauhajoki",79,0,1,0,0,0,0,0,0,0,1,0,1,2,3,4,8,16,17,15,10,1
"1990","Kauhava",113,0,0,0,0,0,0,0,0,0,2,0,0,3,4,8,14,17,35,14,14,2
