"12ak -- Deaths by age (5-year), sex and area, 1990-2021"

"Year","Area","Males Total Deaths","Males 0 Deaths","Males 1 - 4 Deaths","Males 5 - 9 Deaths","Males 10 - 14 Deaths","Males 15 - 19 Deaths","Males 20 - 24 Deaths","Males 25 - 29 Deaths","Males 30 - 34 Deaths","Males 35 - 39 Deaths","Males 40 - 44 Deaths","Males 45 - 49 Deaths","Males 50 - 54 Deaths","Males 55 - 59 Deaths","Males 60 - 64 Deaths","Males 65 - 69 Deaths","Males 70 - 74 Deaths","Males 75 - 79 Deaths","Males 80 - 84 Deaths","Males 85 - 89 Deaths","Males 90 - 94 Deaths","Males 95 - Deaths"
"1990","WHOLE COUNTRY",25016,190,42,39,44,159,284,278,399,596,917,888,1168,1622,2477,2989,3118,3792,3310,1909,666,129
"1990","Akaa",100,1,0,0,0,0,0,3,2,1,1,3,3,10,7,12,13,19,17,7,1,0
"1990","Alajärvi",58,1,0,0,0,0,0,0,0,2,1,4,2,5,3,5,12,11,8,4,0,0
"1990","Alavieska",13,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,3,2,4,0,0,0
"1990","Alavus",71,2,0,0,0,0,1,0,0,0,1,6,4,4,7,12,8,8,5,10,1,2
"1990","Asikkala",65,0,0,0,1,1,1,0,0,1,0,0,3,6,6,8,5,11,9,12,1,0
"1990","Askola",26,0,0,0,0,0,0,0,0,1,2,1,4,3,4,2,3,2,1,3,0,0
"1990","Aura",13,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,1,2,3,1,1,0
"1990","Brändö",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0
"1990","Eckerö",6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,2,0,0,0
"1990","Enonkoski",13,0,0,0,0,0,1,0,0,1,1,1,0,0,1,1,1,1,5,0,0,0
"1990","Enontekiö",12,0,0,0,1,0,0,0,0,1,0,1,2,0,2,1,1,0,2,0,1,0
"1990","Espoo",488,11,2,1,1,3,7,7,10,17,19,24,32,34,46,47,60,81,52,27,7,0
"1990","Eura",75,1,0,0,0,1,0,1,0,1,3,0,3,6,8,13,9,9,8,6,6,0
"1990","Eurajoki",43,0,1,0,2,0,0,0,0,0,2,1,3,2,7,6,4,7,5,2,1,0
"1990","Evijärvi",16,0,0,0,0,0,0,0,0,0,1,1,0,2,5,0,2,3,1,1,0,0
"1990","Finström",10,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,0,2,1,0,0
"1990","Forssa",91,0,0,0,0,1,2,1,0,2,4,2,3,4,11,11,15,11,14,8,2,0
"1990","Föglö",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
"1990","Geta",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"1990","Haapajärvi",53,0,0,0,0,0,0,1,1,0,3,1,2,3,6,6,5,12,5,4,4,0
"1990","Haapavesi",36,0,0,0,1,0,0,0,0,0,2,1,2,0,3,6,6,6,7,2,0,0
"1990","Hailuoto",9,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3,0,0,1,1,0,0
"1990","Halsua",11,0,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,2,3,0,0,0
"1990","Hamina",121,0,0,0,0,0,0,1,2,4,6,4,5,3,14,12,22,22,15,5,6,0
"1990","Hammarland",6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,0,0,0,0
"1990","Hankasalmi",43,0,0,0,0,0,0,1,0,2,2,0,3,1,5,6,9,5,5,2,2,0
"1990","Hanko",51,0,0,0,0,1,0,1,1,1,2,4,2,1,5,3,6,5,9,7,2,1
"1990","Harjavalta",36,0,0,0,0,0,0,1,0,2,3,0,4,3,6,3,6,3,3,1,1,0
"1990","Hartola",34,1,0,0,0,0,0,1,0,1,1,0,3,2,3,10,3,6,3,0,0,0
"1990","Hattula",42,1,0,0,0,0,1,0,0,0,6,1,4,2,1,8,1,7,6,2,1,1
"1990","Hausjärvi",52,0,0,0,0,1,0,0,2,2,1,3,3,4,6,8,8,4,7,3,0,0
"1990","Heinola",119,1,0,0,0,2,0,2,1,4,7,4,3,9,14,11,16,23,12,8,2,0
