"12983: Deaths. Preliminary figures, by contents, region, sex, age, month and year"

"contents";"region";"sex";"age";"month";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Deaths";"K-3001 Halden";"Males";"0-64 years";"January";6;3;3;3;1;2;3;4;1;1;2;2;3;5;1;2;0;2;1;4;0;2;4
"Deaths";"K-3001 Halden";"Males";"0-64 years";"February";1;2;6;5;3;1;1;1;2;2;2;2;5;1;4;5;3;0;4;1;2;1;2
"Deaths";"K-3001 Halden";"Males";"0-64 years";"March";5;2;1;5;2;1;4;3;3;1;1;3;4;1;1;4;1;2;2;1;1;3;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"April";2;3;2;2;3;0;3;4;2;2;4;2;4;1;3;4;1;2;2;1;1;2;4
"Deaths";"K-3001 Halden";"Males";"0-64 years";"May";2;2;0;1;0;3;5;0;3;2;4;3;0;1;2;4;2;1;2;3;4;3;2
"Deaths";"K-3001 Halden";"Males";"0-64 years";"June";2;1;2;1;3;4;1;2;2;2;2;2;3;3;1;0;3;6;3;1;5;4;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"January";9;4;2;6;6;2;6;4;8;3;1;0;2;4;4;4;3;5;3;8;9;10;2
"Deaths";"K-3001 Halden";"Males";"65-79 years";"February";6;7;2;7;7;5;4;1;5;2;3;2;1;2;4;6;4;4;6;2;5;3;5
"Deaths";"K-3001 Halden";"Males";"65-79 years";"March";5;3;8;2;1;6;3;3;1;2;1;5;11;4;6;2;1;9;2;3;0;1;8
"Deaths";"K-3001 Halden";"Males";"65-79 years";"April";4;5;3;4;1;7;1;4;3;2;4;5;3;6;2;4;3;3;6;9;3;8;4
"Deaths";"K-3001 Halden";"Males";"65-79 years";"May";5;7;4;8;4;2;3;0;2;2;5;2;2;5;5;3;5;3;0;4;9;4;2
"Deaths";"K-3001 Halden";"Males";"65-79 years";"June";1;1;4;3;3;5;1;1;1;6;3;4;2;5;3;4;1;4;2;1;6;7;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"January";8;5;7;8;9;5;10;5;7;5;6;8;2;2;2;9;10;3;8;8;3;10;5
"Deaths";"K-3001 Halden";"Males";"80 years or older";"February";8;9;5;4;4;8;11;6;6;4;5;4;10;5;6;12;8;6;7;8;5;6;5
"Deaths";"K-3001 Halden";"Males";"80 years or older";"March";3;5;4;1;6;2;8;5;4;8;6;9;5;8;3;8;7;4;7;10;9;6;7
"Deaths";"K-3001 Halden";"Males";"80 years or older";"April";6;3;4;8;3;7;8;7;6;6;4;8;10;1;8;9;5;6;1;1;8;10;7
"Deaths";"K-3001 Halden";"Males";"80 years or older";"May";2;4;7;7;7;2;4;5;6;3;1;6;11;7;6;5;6;2;5;7;3;2;10
"Deaths";"K-3001 Halden";"Males";"80 years or older";"June";3;4;5;5;8;4;4;7;5;7;8;7;4;5;6;7;5;7;6;6;8;6;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"January";1;3;1;2;0;1;0;2;2;1;0;2;2;3;1;0;1;1;1;1;3;1;2
"Deaths";"K-3001 Halden";"Females";"0-64 years";"February";2;1;1;1;4;1;2;5;1;0;1;0;0;0;2;0;2;0;3;0;0;1;2
"Deaths";"K-3001 Halden";"Females";"0-64 years";"March";2;1;1;3;1;1;2;0;1;0;1;2;0;2;1;3;1;2;1;0;1;3;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"April";1;2;3;0;1;2;2;2;2;1;1;1;2;6;1;2;2;1;0;0;0;1;2
"Deaths";"K-3001 Halden";"Females";"0-64 years";"May";1;0;1;0;2;0;3;2;1;2;2;2;0;0;3;3;0;0;0;1;4;1;0
"Deaths";"K-3001 Halden";"Females";"0-64 years";"June";2;2;1;1;1;2;0;2;1;0;2;2;3;0;1;2;0;1;0;3;1;1;0
