"12983: Deaths. Preliminary figures, by contents, region, sex, age, month and year"

"contents";"region";"sex";"age";"month";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";"2021";"2022"
"Deaths";"K-3001 Halden";"Males";"0-64 years";"July";5;2;3;4;0;10;3;3;6;3;3;4;3;1;1;2;2;0;4;5;2;3;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"August";3;3;2;1;1;3;3;4;3;1;4;1;1;3;1;3;2;2;4;1;0;3;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"September";2;2;5;2;1;1;2;0;5;6;2;2;1;5;1;4;2;1;2;2;0;3;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"October";3;2;2;3;2;2;2;0;3;3;0;2;3;1;1;3;3;1;1;1;2;3;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"november";1;5;4;2;3;2;4;5;2;3;4;3;1;3;2;1;4;1;1;3;2;6;0
"Deaths";"K-3001 Halden";"Males";"0-64 years";"December";2;3;3;2;7;2;1;1;3;5;3;2;5;3;2;6;2;2;2;1;0;3;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"July";6;2;4;6;2;3;2;5;5;4;2;3;4;3;3;6;3;3;2;3;4;2;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"August";5;3;3;4;2;1;1;5;3;7;6;6;6;0;4;1;4;5;2;2;1;3;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"September";2;4;1;9;6;5;4;1;6;2;0;5;7;6;5;5;6;3;4;6;6;3;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"October";3;3;6;4;3;3;4;2;1;1;4;6;1;4;5;4;2;5;3;3;1;3;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"november";5;3;2;4;3;3;0;4;7;8;3;5;6;7;3;6;3;2;0;3;9;9;0
"Deaths";"K-3001 Halden";"Males";"65-79 years";"December";2;3;4;10;4;5;4;6;3;2;3;3;2;3;4;3;3;5;4;6;8;6;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"July";6;9;5;8;5;3;3;2;8;3;9;2;8;4;8;4;5;4;5;3;6;6;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"August";4;4;8;4;3;6;3;7;6;1;6;8;5;5;1;2;3;6;2;5;3;3;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"September";9;6;5;0;5;5;3;8;3;3;8;6;5;4;4;5;6;3;6;7;3;6;0
"Deaths";"K-3001 Halden";"Males";"80 years or older";"October";2;7;7;8;4;6;4;3;2;3;6;12;11;6;10;5;4;8;9;5;10;7;0
