"08426: Deaths, by region, age, sex, year and contents"

"region";"age";"sex";"year";"Deaths"
"01 Østfold (-2019)";"All ages";"Both sexes";"1974";2494
"01 Østfold (-2019)";"All ages";"Both sexes";"1975";2437
"01 Østfold (-2019)";"All ages";"Both sexes";"1976";2415
"01 Østfold (-2019)";"All ages";"Both sexes";"1977";2383
"01 Østfold (-2019)";"All ages";"Both sexes";"1978";2338
"01 Østfold (-2019)";"All ages";"Both sexes";"1979";2616
"01 Østfold (-2019)";"All ages";"Both sexes";"1980";2467
"01 Østfold (-2019)";"All ages";"Both sexes";"1981";2554
"01 Østfold (-2019)";"All ages";"Both sexes";"1982";2490
"01 Østfold (-2019)";"All ages";"Both sexes";"1983";2557
"01 Østfold (-2019)";"All ages";"Both sexes";"1984";2652
"01 Østfold (-2019)";"All ages";"Both sexes";"1985";2712
"01 Østfold (-2019)";"All ages";"Both sexes";"1986";2599
"01 Østfold (-2019)";"All ages";"Both sexes";"1987";2730
"01 Østfold (-2019)";"All ages";"Both sexes";"1988";2810
"01 Østfold (-2019)";"All ages";"Both sexes";"1989";2721
"01 Østfold (-2019)";"All ages";"Both sexes";"1990";2818
"01 Østfold (-2019)";"All ages";"Both sexes";"1991";2695
"01 Østfold (-2019)";"All ages";"Both sexes";"1992";2789
"01 Østfold (-2019)";"All ages";"Both sexes";"1993";2941
"01 Østfold (-2019)";"All ages";"Both sexes";"1994";2684
"01 Østfold (-2019)";"All ages";"Both sexes";"1995";2765
"01 Østfold (-2019)";"All ages";"Both sexes";"1996";2698
"01 Østfold (-2019)";"All ages";"Both sexes";"1997";2757
"01 Østfold (-2019)";"All ages";"Both sexes";"1998";2663
"01 Østfold (-2019)";"All ages";"Both sexes";"1999";2646
"01 Østfold (-2019)";"All ages";"Both sexes";"2000";2722
"01 Østfold (-2019)";"All ages";"Both sexes";"2001";2669
"01 Østfold (-2019)";"All ages";"Both sexes";"2002";2756
"01 Østfold (-2019)";"All ages";"Both sexes";"2003";2739
"01 Østfold (-2019)";"All ages";"Both sexes";"2004";2595
"01 Østfold (-2019)";"All ages";"Both sexes";"2005";2582
"01 Østfold (-2019)";"All ages";"Both sexes";"2006";2508
"01 Østfold (-2019)";"All ages";"Both sexes";"2007";2608
"01 Østfold (-2019)";"All ages";"Both sexes";"2008";2615
"01 Østfold (-2019)";"All ages";"Both sexes";"2009";2606
"01 Østfold (-2019)";"All ages";"Both sexes";"2010";2657
"01 Østfold (-2019)";"All ages";"Both sexes";"2011";2566
"01 Østfold (-2019)";"All ages";"Both sexes";"2012";2658
"01 Østfold (-2019)";"All ages";"Both sexes";"2013";2653
"01 Østfold (-2019)";"All ages";"Both sexes";"2014";2653
"01 Østfold (-2019)";"All ages";"Both sexes";"2015";2630
"01 Østfold (-2019)";"All ages";"Both sexes";"2016";2582
"01 Østfold (-2019)";"All ages";"Both sexes";"2017";2482
"01 Østfold (-2019)";"All ages";"Both sexes";"2018";2602
"01 Østfold (-2019)";"All ages";"Both sexes";"2019";2594
"01 Østfold (-2019)";"All ages";"Both sexes";"2020";0
"01 Østfold (-2019)";"All ages";"Both sexes";"2021";0
"01 Østfold (-2019)";"All ages";"Males";"1974";1351
"01 Østfold (-2019)";"All ages";"Males";"1975";1388
"01 Østfold (-2019)";"All ages";"Males";"1976";1329
"01 Østfold (-2019)";"All ages";"Males";"1977";1348
"01 Østfold (-2019)";"All ages";"Males";"1978";1271
"01 Østfold (-2019)";"All ages";"Males";"1979";1454
"01 Østfold (-2019)";"All ages";"Males";"1980";1347
"01 Østfold (-2019)";"All ages";"Males";"1981";1377
"01 Østfold (-2019)";"All ages";"Males";"1982";1411
"01 Østfold (-2019)";"All ages";"Males";"1983";1401
"01 Østfold (-2019)";"All ages";"Males";"1984";1446
