"08425: Deaths, by region, sex, year and contents"

"region";"sex";"year";"Deaths"
"K-3001 Halden";"Both sexes";"1986";309
"K-3001 Halden";"Both sexes";"1987";369
"K-3001 Halden";"Both sexes";"1988";320
"K-3001 Halden";"Both sexes";"1989";336
"K-3001 Halden";"Both sexes";"1990";358
"K-3001 Halden";"Both sexes";"1991";339
"K-3001 Halden";"Both sexes";"1992";348
"K-3001 Halden";"Both sexes";"1993";374
"K-3001 Halden";"Both sexes";"1994";336
"K-3001 Halden";"Both sexes";"1995";327
"K-3001 Halden";"Both sexes";"1996";308
"K-3001 Halden";"Both sexes";"1997";288
"K-3001 Halden";"Both sexes";"1998";338
"K-3001 Halden";"Both sexes";"1999";337
"K-3001 Halden";"Both sexes";"2000";301
"K-3001 Halden";"Both sexes";"2001";319
"K-3001 Halden";"Both sexes";"2002";309
"K-3001 Halden";"Both sexes";"2003";311
"K-3001 Halden";"Both sexes";"2004";308
"K-3001 Halden";"Both sexes";"2005";303
"K-3001 Halden";"Both sexes";"2006";290
"K-3001 Halden";"Both sexes";"2007";284
"K-3001 Halden";"Both sexes";"2008";296
"K-3001 Halden";"Both sexes";"2009";258
"K-3001 Halden";"Both sexes";"2010";314
"K-3001 Halden";"Both sexes";"2011";332
"K-3001 Halden";"Both sexes";"2012";298
"K-3001 Halden";"Both sexes";"2013";303
"K-3001 Halden";"Both sexes";"2014";326
"K-3001 Halden";"Both sexes";"2015";319
"K-3001 Halden";"Both sexes";"2016";273
"K-3001 Halden";"Both sexes";"2017";267
"K-3001 Halden";"Both sexes";"2018";278
"K-3001 Halden";"Both sexes";"2019";299
"K-3001 Halden";"Both sexes";"2020";284
"K-3001 Halden";"Both sexes";"2021";311
"K-3001 Halden";"Males";"1986";179
"K-3001 Halden";"Males";"1987";197
"K-3001 Halden";"Males";"1988";168
"K-3001 Halden";"Males";"1989";176
"K-3001 Halden";"Males";"1990";176
"K-3001 Halden";"Males";"1991";183
"K-3001 Halden";"Males";"1992";168
"K-3001 Halden";"Males";"1993";202
"K-3001 Halden";"Males";"1994";168
"K-3001 Halden";"Males";"1995";168
"K-3001 Halden";"Males";"1996";168
"K-3001 Halden";"Males";"1997";129
"K-3001 Halden";"Males";"1998";172
"K-3001 Halden";"Males";"1999";162
"K-3001 Halden";"Males";"2000";144
"K-3001 Halden";"Males";"2001";140
"K-3001 Halden";"Males";"2002";140
"K-3001 Halden";"Males";"2003";162
"K-3001 Halden";"Males";"2004";134
"K-3001 Halden";"Males";"2005";139
"K-3001 Halden";"Males";"2006";140
"K-3001 Halden";"Males";"2007";128
"K-3001 Halden";"Males";"2008";148
"K-3001 Halden";"Males";"2009";126
"K-3001 Halden";"Males";"2010";141
"K-3001 Halden";"Males";"2011";165
